year,auth,titl
2006,Thacker,Review: Hansen: New philosophy
2002,Hansen,Cinema beyond cybernetics, or how to frame the digital image
1999,Hayles,How we became posthuman: Virtual bodies in cybernetics, literature, and informatics
2007,Vesna,Database aesthetics: Art in the age of information overflow
2006,Hansen,Media theory
2001,Bahn,Interface : Electronic chamber ensemble
2001,Cook,Principles for designing computer music controllers
2001,D’Arcangelo,Creating contexts of creativity : Musical composition with modular components
2001,Goudeseune,Resonant processing of instrumental sound controlled by spatial position
2001,Gurevich,The accordiatron : A midi controller for interactive music
2001,Jordà,New musical interfaces and new music-making paradigms
2001,Mase,Body , clothes , water and toys : Media towards natural music expressions with digital sounds
2001,Orio,Input devices for musical expression : Borrowing tools from hci
2001,Overholt,The matrix : A novel controller for musical expression
2001,Paradiso,Tangible music interfaces using passive magnetic tags
2001,Robson,PLAY! : Sound toys for the non musical
2001,Ulyate,The interactive dance club : Avoiding chaos in a multi participant environment
2001,Verplank,A course on controllers
2001,Wessel,Problems and prospects for intimate musical control of computers
2002,Software,IXI software
2002,Stanza,Amorphoscapes & soundtoys
2002,Arfib,A digital emulator of the photosonic instrument
2002,Baumann,Interdisciplinary applications of new instruments
2002,Bernard,Experimental controllers for live electronic music performance (vs. Copyright).
2002,Blaine,JAM-o-world: Evolution of the jam-o-drum multi-player musical controller into the jam-o-whirl gaming interface
2002,Bongers,A structured instrument design approach: The video-organ
2002,Burtner,Noisegate 67 for metasaxophone: Composition and performance considerations of a new computer music controller
2002,Camurri,Interactive systems design: A kansei-based approach
2002,Chadabe,The limitations of mapping as a structural descriptive in electronic instruments
2002,Couturier,A scanned synthesis virtual instrument
2002,D’Arcangelo,Creating a context for musical innovation: A nime curriculum
2002,Fels,Tooka: Explorations of two person instruments
2002,Ferris,The musical box garden
2002,Fléty,AtoMIC pro: A multiple sensor acquisition device
2002,Gadd,MetaMuse: Metaphors for expressive instruments
2002,Griffith,Circles and seeds: Adapting kpelle ideas about music performance for collaborative digital music performance
2002,Gunther,Cutaneous grooves: Composing for the sense of touch
2002,Hankins,Circular optical object locator
2002,Hasan,The termenova : A hybrid free-gesture interface
2002,Hunt,The importance of parameter mapping in electronic instrument design
2002,Huott,An interface for precise musical control
2002,Johannes,A low-cost sonar for unobtrusive man-machine interfacing
2002,Jordà,Afasia: The ultimate homeric one-man-multimedia-band
2002,Kapur,The electronic tabla controller
2002,Kessous,Bi-manual mapping experimentation, with angular fundamental frequency control and sound color navigation
2002,Machover,Instruments, interactivity, and inevitability
2002,Mandelis,Adaptive hyperinstruments: Applying evolutionary techniques to sound synthesis and performance
2002,Marshall,The virtual bodhran – the vodhran
2002,Mccaig,Playing on heart-strings: Experiences with the 2Hearts system
2002,McElligott,‘PegLegs in music’ processing the effort generated by levels of expressive gesturing in music
2002,Ng,Interactive gesture music performance interface
2002,Nichols,The vBow: Development of a virtual violin bow haptic human-computer interface
2002,Oboe,Multi-instrument virtual keyboard – the mikey project
2002,Paine,GESTATION
2002,Pardue,Musical navigatrics: New musical interactions with passive magnetic tags
2002,Patten,Audiopad: A tag-based interface for musical performance
2002,Schnell,Introducing composed instruments, technical and musicological implications
2002,Smyth,Creating sustained tones with the cicada’s rapid sequential buckling mechanism
2002,Tanaka,Multimodal interaction in music using the electromyogram and relative position sensing
2002,Verplank,THE plank: Designing a simple haptic controller.
2002,Vogt,Tongue ‘n’ groove: An ultrasound based music controller
2002,Weinberg,The beatbug network -a rhythmic system for interdependent group collaboration
2002,Wessel,Intimate musical control of computers with a variety of controllers and gesture mapping metaphors
2002,Wilkerson,The mutha rubboard controller
2002,Winkler,Fusing movement, sound, and video in falling up, an interactive dance/theatre production
2002,Wynnychuk,Sutoolz 1.0 alpha : 3D software music interface
2002,Young,The hyperbow controller: Real-time dynamics measurement of violin performance
2003,Allison,SensorBox: Practical audio interface for gestural performance
2003,Andersen,Mixxx : Towards novel dj interfaces
2003,Baalman,The strimidilator: A string controlled midi-instrument
2003,Baird,Multi-conductor: An onscreen polymetrical conducting and notation display system
2003,Blaine,Contexts of collaborative musical experiences
2003,Burtner,Composing for the (dis)Embodied ensemble : Notational systems in (dis)Appearances
2003,Cadoz,ACROE - ICA artistic creation and computer interactive multisensory simulation force feedback gesture transducers
2003,Cannon,EpipE: Exploration of the uilleann pipes as a potential controller for computer-based music
2003,Choi,A component model of gestural primitive throughput
2003,Couturier,Pointing fingers: Using multiple direct interactions with visual objects to perform music
2003,Dobrian,Gestural control of music using the vicon 8 motion capture system
2003,Fléty,EoBody : A follow-up to atomic pro’s technology
2003,Gaye,Sonic city: The urban environment as a musical interface
2003,Hatanaka,Ergonomic design of a portable musical instrument
2003,Hewitt,E-mic: Extended mic-stand interface controller
2003,Hoskinson,Real-time adaptive control of modal synthesis
2003,Howard,Force feedback gesture controlled physical modelling synthesis
2003,Hunt,MidiGrid: Past, present and future
2003,Jordà,Sonigraphical instruments: From FMOL to the reacTable\*
2003,Kartadinata,The gluiph: A nucleus for integrated instruments
2003,Kessous,Bimanuality in alternate musical instruments
2003,Kleinsasser,Dsp.rack: Laptop-based modular, programmable digital signal processing and mixing for live performance
2003,Laibowitz,BASIS: A genesis in musical interfaces
2003,Lyons,Designing, playing, and performing with a vision-based mouth interface
2003,Merrill,Head-tracking for gestural and continuous control of parameterized audio effects
2003,Modler,An experimental set of hand gestures for expressive control of musical parameters in realtime
2003,Momeni,Characterizing and controlling musical material intuitively with geometric models
2003,Muth,Sodaconductor
2003,Nagashima,Bio-sensing systems and bio-feedback systems for interactive media arts
2003,Nakra,Immersion music: A progress report
2003,Newton-Dunn,Block jam: A tangible interface for interactive music
2003,Nishimoto,Why always versatile? Dynamically customizable musical instruments facilitate expressive performances
2003,Orio,Score following: State of the art and new developments
2003,Palacio-Quintin,The hyper-flute
2003,Paradiso,Dual-use technologies for electronic music controllers: A personal perspective
2003,Peiper,An interface for real-time classification of articulations produced by violin bowing
2003,Ryan,TGarden: Wearable instruments and augmented physicality
2003,Scavone,THE pipe: Explorations with breath control
2003,Settel,Convolution brother’s instrument design
2003,Shiraiwa,Sound kitchen: Designing a chemically controlled musical performance
2003,Singer,Sonic banana: A novel bend-sensor-based midi controller
2003,Singer,LEMUR guitarbot: MIDI robotic string instrument
2003,Traube,Indirect acquisition of instrumental gesture based on signal , physical and perceptual information
2003,Ventura,Duet musical companion: Improvisational interfaces for children
2003,Wilson,Microcontrollers in music hci instruction: Reflections on our switch to the atmel avr platform
2003,Wright,OpenSound control: State of the art 2003
2003,Young,HyperPuja: A tibetan singing bowl controller
2003,Young,Playability evaluation of a virtual bowed string instrument
2004,Argo,The slidepipe: A timeline-based controller for real-time sample manipulation
2004,Bryan-Kinns,Daisyphone: Support for remote music collaboration
2004,Burtner,A theory of modulated objects for new shamanic controller design
2004,Coduys,TOASTER and kroonde: High-resolution and high- speed real-time sensor interfaces
2004,Cont,Real-time gesture mapping in pd environment using neural networks
2004,D’Arcangelo,Recycling music, answering back: Toward an oral tradition of electronic music
2004,Dannenberg,Aura ii: Making real-time systems safe for music
2004,Fels,Evolving tooka: From experiment to instrument
2004,Fléty,Versatile sensor acquisition system utilizing network technology
2004,Franco,Issues for designing a flexible expressive audiovisual system for real-time performance & composition
2004,Gaye,In duet with everyday urban settings: A user study of sonic city
2004,Gerhard,Exploration of the correspondence between visual and acoustic parameter spaces
2004,Goto,The case study of application of advanced gesture interface and mapping interface, virtual musical instrument "le superpolm" and gesture controller "bodysuit"
2004,Hashida,Ensemble system with i-trace
2004,Havel,Modeling an air percussion for composition and performance
2004,Hiraga,Rencon 2004: Turing test for musical expression
2004,Hornof,EyeMusic: Making music with the eyes
2004,Hughes,Epipe : A novel electronic woodwind controller
2004,Ishida,Ism: Improvisation supporting system based on melody correction
2004,Jordà,Digital instruments and players: Part i – efficiency and apprenticeship
2004,Kaltenbrunner,Dynamic patches for live musical performance
2004,Kapur,The electronic sitar controller
2004,Katayose,Using an expressive performance template in a music conducting interface
2004,Kawahara,Acappella synthesis demonstrations using rwc music database
2004,Lee,You’re the conductor: A realistic interactive conducting system for children
2004,Lew,Live cinema: Designing an instrument for cinema editing as a live performance
2004,Lippit,Realtime sampling system for the turntablist, version 2: 16padjoystickcontroller
2004,Mandelis,Don’t just play it, grow it! : Breeding sound synthesis and performance mappings
2004,Miyashita,Thermoscore: A new-type musical score with temperature sensation
2004,Morris,SillyTone squish factory
2004,Nagashima,Measurement of latency in interactive multimedia art
2004,Nelson,A survey of real-time midi performance
2004,O’Modhrain,PebbleBox and crumblebag: Tactile interfaces for granular synthesis
2004,Paine,Gesture and musical interaction : Interactive engagement through dynamic morphology
2004,Pashenkov,A new mix of forgotten technology: Sound generation, sequencing and performance using an optical turntable
2004,Pelletier,A shape-based approach to computer vision musical performance systems
2004,Poepel,Synthesized strings for string players
2004,Ramakrishnan,The architecture of auracle: A real-time, distributed, collaborative instrument
2004,Serafin,Toward a generalized friction controller: From the bowed string to unusual musical instruments
2004,Sharon,The stranglophone: Enhancing expressiveness in live electronic music
2004,Shatin,Tree music: Composing with gaia
2004,Sheehan,The squiggle: A digital musical instrument
2004,Silva,A novel face-tracking mouth controller and its application to interacting with bioacoustic models
2004,Singer,LEMUR’s musical robots
2004,Steiner,StickMusic: Using haptic feedback with a phase vocoder
2004,Takahata,Sound feedback for powerful karate training
2004,Talmudi,The decentralized pianola: Evolving mechanical music instruments using a genetic algorithm
2004,Tanaka,Mobile music making
2004,Torchia,Techniques for multi-channel real-time spatial distribution using frequency-domain processing
2004,Van Nort,On the choice of mappings based on geometric properties
2004,Wang,On-the-fly programming: Using code as an expressive musical instrument
2004,Won,Light pipes: A light controlled midi instrument
2004,Young,AoBachi: A new interface for Japanese drumming
2004,Zaborowski,ThumbTec: A new handheld input device
2005,Allen,BoomBox
2005,Allison,Teabox: A sensor data interface system
2005,Baird,Real-time generation of music notation via audience interaction using python and GNU lilypond
2005,Barbosa,Network latency adaptive tempo in the public sound objects system
2005,Bardos,Bangarama: Creating music with headbanging
2005,Bencina,The metasurface – applying natural neighbour interpolation to two-to-many mapping
2005,Bevilacqua,MnM: A max/msp mapping toolbox
2005,Birchfield,Sustainable: A dynamic, robotic, sound installation
2005,Birnbaum,Towards a dimension space for musical devices
2005,Blaine,The convergence of alternate controllers and musical interfaces in interactive entertainment
2005,Bowen,Soundstone: A 3-D wireless music controller
2005,Bowers,Not hyper, not meta, not cyber but infra-instruments
2005,Buchla,A history of buchla’s musical instruments
2005,Buxton,Causality and striking the right note
2005,Cáceres,SCUBA: The self-contained unified bass augmenter
2005,Carlile,OROBORO: A collaborative controller with interpersonal haptic feedback
2005,Carter,Location33: A mobile musical
2005,Chew,ESP: A driving interface for expression synthesis
2005,Cook,Real-time performance controllers for synthesized singing
2005,Crevoisier,Tangible acoustic interfaces and their applications for the design of new musical instruments
2005,Dannenberg,McBlare: A robotic bagpipe player
2005,Deutscher,Echology
2005,Eaton,Multiple-touch-sensitive keyboard
2005,Essl,Scrubber: An interface for friction-induced sounds
2005,Fléty,The wise box: A multi-performer wireless sensor interface using WiFi and osc
2005,Fox,SoniMime: Movement sonification for real-time timbre shaping
2005,Fraietta,Smart controller / bell garden demo
2005,Fraietta,The smart controller workbench
2005,Franco,The airstick: A free-gesture controller using infrared sensing
2005,Funk,Sonification of facial actions for musical expression
2005,Guisan,Interactive sound installation: INTRIUM
2005,Gutknecht,GoingPublik: Using realtime global score synthesis
2005,Hindman,Sonictroller
2005,Huott,Precise control on compound curves
2005,Janer,Voice-controlled plucked bass guitar through two synthesis techniques
2005,Jordà,Multi-user instruments: Models, examples and promises
2005,Kim-Boyle,Musical score generation in valses and etudes
2005,Kobayashi,Spinner: A simple approach to reconfigurable user interfaces
2005,Lee,The role of time in engineering computer music systems
2005,Lehrman,Bridging the gap between art and science education through teaching electronic musical instrument design
2005,Levin,A personal chronology of audiovisual systems research
2005,Levin,Sounds from shapes: Audiovisual performance with hand silhouette contours in the manual input sessions
2005,Livingstone,Orb3 – adaptive interface design for real time sound synthesis & diffusion within socially mediated spaces
2005,Loscos,The wahwactor: A voice controlled wah-wah pedal
2005,Lugo,Beat boxing : Expressive control for electronic music performance and musical applications
2005,Mäki-patola,Experiments with virtual reality instruments
2005,Magnusson,Ixi software: The interface as instrument
2005,Maki-patola,User interface comparison for virtual drums
2005,Marinelli,Mocean
2005,Matsumura,Hop step junk: Sonic visualization using footsteps
2005,Melo,Swayway - midi chimes
2005,Miranda,Toward direct brain-computer musical interfaces
2005,Oore,Learning advanced skills on new instruments
2005,Overholt,The overtone violin
2005,Pellarin,Connecting strangers at a train station
2005,Pelletier,A graphical interface for real-time signal routing
2005,Poepel,On interface expressivity: A player-based study
2005,Rodet,Study of haptic and visual interaction for sound and music control in the phase project
2005,Rodriguez,VIFE alpha v.01 real-time visual sound installation performed by glove-gesture
2005,Rodrigues,CyberSong
2005,Scavone,Frequency content of breath pressure and implications for use in control
2005,Schiemer,Pocket gamelan: A pure data interface for mobile phones
2005,Silva,On the use of flute air jet as a musical control variable
2005,Singer,A large-scale networked robotic musical instrument installation
2005,Sinyor,Gyrotyre : A dynamic hand-held computer-music controller based on a spinning wheel
2005,Socolofsky,Contemplace
2005,Steiner,\[Hid\] toolkit: A unified framework for instrument design
2005,Taylor,Using music to interact with a virtual character
2005,Tindale,A comparison of sensor strategies for capturing percussive gestures
2005,Topper,Wireless dance control : PAIR and wisear
2005,Verplank,Haptic music exercises
2005,Villar,Pin & play & perform: A rearrangeable interface for musical composition and performance
2005,Wang,Bubbaboard and mommaspeaker: Creating digital tonal sounds from an acoustic percussive instrument
2005,Wang,Yeah, chuck it! = \> dynamic , controllable interface mapping
2005,Weinberg,Iltur – connecting novices and experts through collaborative improvisation
2005,Wingstedt,REMUPP – an interactive tool for investigating musical properties and relations
2005,Yonezawa,HandySinger : Expressive singing voice morphing using personified hand-puppet interface
2006,d’Alessandro,Real-time calm synthesizer: New approaches in hands-controlled voice synthesis
2006,Aylward,Sensemble: A wireless, compact, multi-user sensor system for interactive dance
2006,Beilharz,Hyper-shaku (border-crossing): Towards the multi-modal gesture-controlled hyper-instrument
2006,Bennett,PETECUBE: A multimodal feedback interface
2006,Bevilacqua,The augmented violin project: Research, composition and performance report
2006,Birchfield,Interactive public sound art: A case study
2006,Bonardi,Towards a virtual assistant for performers and stage directors
2006,Borchers,MICON a music stand for interactive conducting
2006,Bottoni,Mapping with planning agents in the max/msp environment: The go/max language
2006,Bowers,Creating ad hoc instruments with pin&Play&Perform
2006,Breinbjerg,An acousmatic composition environment
2006,Bryan-Kinns,Decay in collaborative music making
2006,Burns,Visual methods for the retrieval of guitarist fingering
2006,Burtner,Perturbation techniques for multi-performer or multi- agent interactive musical interfaces
2006,Crevoisier,Sound rose: Creating music and images with a touch table
2006,Davidson,Synthesis and control on large scale multi-touch sensing displays
2006,Dimitrov,A simple practical approach to a wireless data acquisition board
2006,Dobrian,The e in nime: Musical expression with new computer interfaces
2006,Farwell,Adapting the trombone: A suite of electro-acoustic interventions for the piece
2006,Favilla,Children of grainger: Leather instruments for free music
2006,Ferguson,Learning musical instrument skills through interactive sonification
2006,Francois,An architectural framework for interactive music systems
2006,Freed,Beyond 0-5V: Expanding sensor integration architectures
2006,Freed,Augmenting the cello
2006,Gaye,Mobile music technology: Report on an emerging community
2006,Geiger,Using the touch screen as a controller for portable computer music instruments
2006,Goto,The case study of an application of the system, ‘bodysuit’ and ‘roboticmusic’: Its introduction and aesthetics
2006,Gurevich,JamSpace: Designing a collaborative networked music space for novices
2006,Hamel,Integrated interactive music performance environment
2006,Hamilton,Bioinformatic feedback: Performer bio-data as a driver for real-time composition
2006,Hansen,Mapping strategies in dj scratching
2006,Hindman,Modal kombat: Competition and choreography in synesthetic musical performance
2006,Holm,Using midi to modify video game content
2006,Hsu,Managing gesture and timbre for analysis and instrument control in an interactive environment
2006,Jacquemin,Transmodal feedback as a new perspective for audio-visual effects
2006,Jensenius,Towards a gesture description interchange format
2006,Johnson,Timbre interfaces using adjectives and adverbs
2006,Jong,A tactile closed-loop device for musical interaction
2006,Jordà,Mary had a little scoreTable\* or the reacTable\* goes melodic
2006,Kartadinata,The gluion advantages of an FPGA-based sensor interface
2006,Kessous,’GXtar’, an interface using guitar techniques
2006,Kimura,Auditory illusion and violin: Demonstration of a work by jean-claude risset written for mari kimura
2006,Kiser,SpinCycle: A color-tracking turntable sequencer
2006,Knapp,Creating a network of integral music controllers
2006,Kobayashi,GAINER: A reconfigurable I/O module and software libraries for education
2006,Kobori,LINE: Interactive sound and light installation
2006,Koehly,Paper fsrs and latex/fabric traction sensors: Methods for the development of home-made touch sensors
2006,Kvifte,Towards a coherent terminology and model of instrument description and design
2006,Laubier,Meta-instrument 3: A look over 17 years of practice
2006,Lebel,The g-spring controller
2006,Lee,Conga: A framework for adaptive conducting gesture analysis
2006,Lee,The chopping board: Real-time sample editor
2006,Lehrman,A "ballet mécanique" for the 21st century: Performing george antheil’s dadaist masterpiece with robots
2006,Lemouton,Using the augmented trombone in "i will not kiss your f.ing flag"
2006,Leroy,Reflective optical pickup for violin
2006,Lippit,Turntable music in the digital era: Designing alternative tools for new turntable expression
2006,Lock,Orbophone: A new interface for radiating sound and image
2006,Magnusson,Screen-based musical interfaces as semiotic machines
2006,Maki-Patola,The augmented djembe drum - sculpting rhythms
2006,Marshall,Vibrotactile feedback in digital musical instruments
2006,Naef,A vr interface for collaborative 3D audio performance
2006,Nagashima,Students’ projects of interactive media-installations in suac
2006,Nishibori,TENORI-on
2006,Nixdorf,Real-time sound source spatialization as used in challenging bodies: Implementation and performance
2006,Pak,The light matrix: An interface for musical expression and performance
2006,Poepel,Recent developments in violin-related digital musical instruments: Where are we and where are we going?
2006,Pritchard,GRASSP: Gesturally-realized audio, speech and song performance
2006,Rémus,Non haptic control of music by video analysis of hand movements: 14 years of experience with the ‘caméra musicale’
2006,Ramakrishnan,The zkm klangdom
2006,Rebelo,The frequencyliator – distributing structures for networked laptop improvisation
2006,Richards,32kg: Performance systems for a post-digital age
2006,Rohs,CaMus: Live music performance using camera phones and visual grid tracking
2006,Schiemer,Pocket gamelan: Tuneable trajectories for flying sources in mandala 3 and mandala 4
2006,Schiesser,On making and playing an electronically-augmented saxophone
2006,Schoonderwaldt,Combining accelerometer and video camera: Reconstruction of bow velocity profiles
2006,Serafin,Synthesis and control of everyday sounds reconstructing russolo’s intonarumori
2006,Smyth,Handheld acoustic filter bank for musical control
2006,Steiner,Towards a catalog and software library of mapping methods
2006,Stewart,SonicJumper composer
2006,Tanaka,A framework for spatial interaction in locative media
2006,Wanderley,SensorWiki.org: A collaborative resource for researchers and interface designers
2006,Wang,Building collaborative graphical interFaces in the audicle
2006,Weinberg,Interactive sonification of neural activity
2006,Wozniewski,A framework for immersive spatial audio performance
2006,Young,Composing for hyperbow: A collaboration between MIT and the royal academy of music
2006,Zadel,Different strokes: A prototype software system for laptop performance and improvisation
2007,d’Alessandro,HandSketch bi-manual controller investigation on expressive control issues of an augmented tablet
2007,Stanza,Sensity
2007,Álvarez-Fernández,Soundanism
2007,Aimi,Percussion instruments using realtime convolution : Physical controllers
2007,Baalman,Schwelle : Sensor augmented, adaptive sound design for live theatrical performance
2007,Baba,Freqtric drums : A musical instrument that uses skin contact as an interface
2007,Bell,The multimodal music stand
2007,Bennett,DAMPER : A platform for effortful interface development
2007,Benning,Improved position tracking of a 3-D gesture-based musical controller using a Kalman filter
2007,Bevilacqua,Wireless sensor interface and gesture-follower for music pedagogy
2007,Biggs,The tipping point
2007,Bottcher,PHYSMISM : A control interface for creative exploration of physical models
2007,Bottoni,Use of a dual-core DSP in a low-cost, touch-screen based musical instrument
2007,Bouillot,NJam user experiments : Enabling remote musical interaction from milliseconds to seconds
2007,Bull,Cellphonia : WET
2007,Camurri,Active listening to a virtual orchestra through an expressive gestural interface : The orchestra explorer
2007,Camurri,Developing multimodal interactive systems with eyesweb xmi
2007,Cartwright,Rage in conjunction with the machine
2007,Castellano,Expressive control of music and visual media by full-body movement
2007,Chang,Zstretch : A stretchy fabric music controller
2007,Chuchacz,Physical models and musical controllers – designing a novel electronic percussion instrument
2007,Clay,The wrist-conductor
2007,Collins,Matching parts : Inner voice led control for symbolic and audio accompaniment
2007,Cook,Tactophonics : Your favourite thing wants to sing
2007,Dahl,The wavesaw : A flexible instrument for direct timbral manipulation
2007,Dannenberg,New interfaces for popular music performance
2007,Dearraindrop,Miller
2007,Donaldson,Chroma palette : Chromatic maps of sound as granular synthesis interface
2007,Fiebrink,Don’t forget the laptop : Using native input capabilities for expressive musical control
2007,Fornari,Interactive spatialization and sound design using an evolutionary system
2007,François,Visual feedback in performer-machine interaction for musical improvisation
2007,Franinovic,New musical interfaces in context : Sonic interaction design in the urban setting
2007,Freeman,Graph theory : Interfacing audiences into the compositional process
2007,Gómez,A look at the design and creation of a graphically controlled digital musical instrument
2007,Gimenes,Musicianship for robots with style
2007,Groux,VR-roboser : Real-time adaptive sonification of virtual environments based on avatar behavior
2007,Gruenbaum,The samchillian tip tip tip cheeepeeeee : A relativistic keyboard instrument
2007,Guedes,Establishing a musical channel of communication between dancers and musicians in computer-mediated collaborations in dance performance
2007,Gurevich,Expression and its discontents : Toward an ecology of musical creation
2007,Han,Project scriabin v.3
2007,Hashida,JPop-e : An assistant system for performance rendering of ensemble music
2007,Hashida,A system for improvisational musical expression based on player ’ s sense of tempo
2007,Hauert,Instant city, a music building game table
2007,Hoffman,Real-time feature-based synthesis for live musical performance
2007,Hollinger,FMRI-compatible electronic controllers
2007,Hornof,EyeMusic : Performing live music and multimedia compositions with eye movements
2007,Hsu,Design issues in interaction modeling for free improvisation
2007,Jakovich,ParticleTecture : Interactive granular soundspaces for architectural design
2007,Jones,Controlling a physical model with a 2D force matrix
2007,Kanebako,Mountain guitar : A musical instrument for everyone
2007,Kapur,Integrating hyperinstruments , musical robots & machine musicianship for north Indian classical music
2007,Keating,The lambent reactive : An audiovisual environment for kinesthetic playforms
2007,Kim,Oculog : Playing with eye movements
2007,Kirk,The frankenpipe : A novel bagpipe controller
2007,Knörig,Articulated paint : Musical expression for non-musicians
2007,Lee,Towards rhythmic analysis of human motion using acceleration-onset times
2007,Lee,REXband : A multi-user interactive exhibit for exploring medieval music
2007,Loewenstein,"Acoustic map" – an interactive cityportrait
2007,Magnusson,The acoustic, the digital and the body : A survey on musical instruments
2007,Malloch,The t-stick : From musical interface to musical instrument
2007,Mann,Natural interfaces for musical expression : Physiphones and a physics-based organology
2007,Milmoe,NIME performance & installation : Sonic pong v3.0
2007,Moody,Ashitaka : An audiovisual instrument
2007,Moriwaki,MIDI scrapyard challenge workshops
2007,Morris,Musique concrete : Transforming space , sound and the city through skateboarding
2007,Nagashima,GHI project and "cyber kendang"
2007,Nakamoto,Circle canon chorus system used to enjoy a musical ensemble singing "frog round"
2007,Nilson,Live coding practice
2007,Ojanen,Design principles and user interfaces of erkki kurenniemi’s electronic musical instruments of the 1960’s and 1970’s
2007,Oliver,Fijuu2 : A game-based audio-visual performance and composition engine
2007,Pérez,Dı́amair : Composing for choir and integral music controller
2007,Paine,The thummer mapping project (thump)
2007,Pereira,Loop-r : Real-time video interface
2007,Poepel,Hot strings sig
2007,Porres,Adaptive tuning using theremin as gestural controller
2007,Quessy,Human sequencer
2007,Rigler,The music cre8tor : An interactive system for musical exploration and education
2007,Robertson,B-keeper : A beat-tracker for live performance
2007,Rohs,CaMus 2 – optical flow and collaboration in camera phone music performance
2007,Sa,Thresholds
2007,Sarkar,Recognition and prediction in a network music performance system for Indian percussion
2007,Schacher,Gesture control of sounds in 3D space
2007,Seo,Nite aura : An audio-visual interactive immersive installation
2007,Sinclair,Defining a control standard for easily integrating haptic virtual environments with existing audio / visual systems
2007,Sirguy,Eobody2 : A follow-up to eobody’s technology
2007,Stark,Real-time beat-synchronous audio effects
2007,Steiner,A unified toolkit for accessing human interface devices in pure data and max / msp
2007,Takahashi,Bog : Instrumental aliens
2007,Takegawa,Mobile clavier : New music keyboard for flexible key transpose
2007,Till,Wireless inertial sensor package (wisp)
2007,Tindale,A hybrid method for extended percussive gesture
2007,Topper,Extended applications of the wireless sensor array (wisear)
2007,Torre,Celeritas : Wearable wireless system
2007,Toyoda,Sensillum : An improvisational approach to composition
2007,Uozumi,Bd : A sound installation with swarming robots
2007,Van Nort,Control strategies for navigation of complex sonic spaces transformation of resonant models
2007,Vanegas,The midi pick : Trigger serial data , samples, and midi from a guitar pick
2007,Vigoda,JamiOki-purejoy : A game engine and instrument for electronically-mediated musical improvisation
2007,Villar,The colordex dj system : A new interface for live music mixing
2007,Weinberg,The design of a robotic marimba player – introducing pitch into robotic musicianship
2007,Wessel,A force sensitive multi-touch array supporting multiple 2-D musical control structures
2007,Wulfson,Automatic notation generators
2007,Young,Bowstroke database : A web-accessible archive of violin bowing data
2007,Zbyszynski,Ten years of tablet musical interfaces at cnmat
2008,Ananya,Microphone as sensor in mobile phone performance
2008,Barbosa,Ten-hand piano : A networked music installation
2008,Bau,The a20 : Musical metaphors for interface design
2008,Bencina,Gesture=Sound experiments : Process and mappings
2008,Berdahl,A tangible virtual vibrating string : A physically motivated virtual musical instrument interface
2008,Berdahl,Practical hardware and algorithms for creating haptic musical instruments
2008,Bouënard,Enhancing the visualization of percussion gestures by virtual character animation
2008,Bouillot,A mobile wireless augmented guitar
2008,Bozzolan,SMuSIM : A prototype of multichannel spatialization system with multimodal interaction interface
2008,Butler,Creating pedagogical etudes for interactive instruments
2008,Camurri,Mappe per affetti erranti : A multimodal system for social active listening and expressive performance
2008,Canazza,New data structure for old musical open works
2008,Chordia,Real-time raag recognition for interactive music
2008,Ciglar,"3rd. Pole" – a composition performed via gestural cues
2008,Coghlan,Sensory chairs : A system for biosignal research and performance
2008,Corness,Performer model : Towards a framework for interactive performance based on perceived intention
2008,Crevoisier,Transforming ordinary surfaces into multi-touch controllers
2008,Delle Monache,Sonically augmented found objects
2008,Demey,The musical synchrotron : Using wireless motion sensors to study how social interaction affects synchronization with musical tempo
2008,Dimitrov,Developing block-movement, physical-model based objects for the reactable
2008,Dubrau,P\[a\]ra\[pra\]xis : Poetry in motion
2008,Eigenfeldt,An agent-based system for robotic musical performance
2008,Endo,Rhythmic instruments ensemble simulator generating animation movies using Bluetooth game controller
2008,Favilla,Gluisax : Bent leather band’s augmented saxophone project
2008,Flanigan,Plink jet
2008,Follmer,The pond : Interactive multimedia installation
2008,Fraietta,Open sound control : Constraints and limitations
2008,Freed,Application of new fiber and malleable materials for agile development of augmented instruments and controllers
2008,Gatzsche,Interaction with tonal pitch spaces
2008,Geiger,Towards participatory design and evaluation of theremin-based musical interfaces
2008,Godbehere,Wearable interfaces for cyberphysical musical expression
2008,Goina,Elementary gestalts for gesture sonification
2008,Grosshauser,Low force pressure measurement : Pressure sensor matrices for gesture analysis , stiffness recognition and augmented instruments
2008,Hadjakos,The elbow piano : Sonification of piano playing movements
2008,Hansen,More dj techniques on the reactable
2008,Hartman,Swing set : Musical controllers with inherent physical dynamics
2008,Hashida,A directable performance rendering system : Itopul
2008,Hayafuchi,MusicGlove : A wearable musical controller for massive media library
2008,Hazlewood,Designing ambient musical information systems
2008,Henriques,META-EVI innovative performance paths with a wind controller
2008,Jacobs,A mobile music environment using a pd compiler and wireless sensors
2008,Jo,Monalisa : "See the sound , hear the image"
2008,Jong,The cyclotactor : Towards a tactile platform for musical interaction
2008,Källblad,Hoppsa universum – an interactive dance installation for children
2008,Kamiyama,Oto-shigure : An umbrella-shaped sound generator for musical expression
2008,Kiefer,HCI methodology for evaluating musical controllers : A case study
2008,Kim-Boyle,Network musics - play , engagement and the democratization of performance
2008,Kimura,Making of vitessimo for augmented violin : Compositional process and performance
2008,Kuyken,The hop sensor : Wireless motion sensor
